marketplace_id,marketplace_name,mkt_created_date,category_id,category_name,category_comments,seller_id,seller_name,seller_address,transaction_date,transaction_value
12,GlobalBay 12,2022-07-03,220,Fashion Section,High priority category for season 3,509,Vendor Alpha 9,"214 Commerce Ave, Suite 9",2024-10-25,1827.81
35,RiverTrade 35,2014-05-22,236,Electronics Section,High priority category for season 2,511,Vendor Alpha 11,"915 Commerce Ave, Suite 11",2024-12-13,188.47
43,GlobalBay 43,2022-09-20,227,Toys Section,High priority category for season 3,536,Vendor Alpha 36,"941 Commerce Ave, Suite 36",2024-03-26,937.1
22,Amazonia 22,2010-11-16,247,Fashion Section,High priority category for season 4,524,Vendor Alpha 24,"679 Commerce Ave, Suite 24",2024-08-26,351.98
49,QuickMart 49,2016-09-01,247,Fashion Section,High priority category for season 4,520,Vendor Alpha 20,"942 Commerce Ave, Suite 20",2024-07-31,103.13
8,GlobalBay 8,2010-11-03,217,Home & Garden Section,High priority category for season 2,508,Vendor Alpha 8,"726 Commerce Ave, Suite 8",2024-11-12,260.57
32,QuickMart 32,2010-02-22,201,Books Section,High priority category for season 3,527,Vendor Alpha 27,"81 Commerce Ave, Suite 27",2024-12-05,878.5
19,GlobalBay 19,2023-03-16,235,Books Section,High priority category for season 3,518,Vendor Alpha 18,"495 Commerce Ave, Suite 18",2024-08-27,681.57
13,RiverTrade 13,2014-10-27,212,Beauty Section,High priority category for season 4,549,Vendor Alpha 49,"537 Commerce Ave, Suite 49",2024-10-11,1780.31
47,RiverTrade 47,2011-10-27,232,Fashion Section,High priority category for season 2,502,Vendor Alpha 2,"811 Commerce Ave, Suite 2",2024-01-09,1558.2
37,Amazonia 37,2010-05-29,242,Electronics Section,High priority category for season 2,515,Vendor Alpha 15,"781 Commerce Ave, Suite 15",2024-08-18,1992.68
17,RiverTrade 17,2014-12-07,214,Automotive Section,High priority category for season 4,547,Vendor Alpha 47,"224 Commerce Ave, Suite 47",2024-03-12,1259.61
13,RiverTrade 13,2014-10-27,212,Beauty Section,High priority category for season 4,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-02-04,945.25
25,Amazonia 25,2021-06-26,235,Books Section,High priority category for season 3,511,Vendor Alpha 11,"915 Commerce Ave, Suite 11",2024-02-17,822.68
34,QuickMart 34,2020-03-22,237,Beauty Section,High priority category for season 1,550,Vendor Alpha 50,"723 Commerce Ave, Suite 50",2024-03-13,1864.73
32,QuickMart 32,2010-02-22,214,Automotive Section,High priority category for season 4,540,Vendor Alpha 40,"31 Commerce Ave, Suite 40",2024-09-23,567.6
49,QuickMart 49,2016-09-01,247,Fashion Section,High priority category for season 4,512,Vendor Alpha 12,"813 Commerce Ave, Suite 12",2024-02-02,1919.62
29,RiverTrade 29,2019-04-27,227,Toys Section,High priority category for season 3,503,Vendor Alpha 3,"825 Commerce Ave, Suite 3",2024-03-31,1771.68
7,RiverTrade 7,2019-08-19,236,Electronics Section,High priority category for season 2,546,Vendor Alpha 46,"132 Commerce Ave, Suite 46",2024-05-27,791.39
34,QuickMart 34,2020-03-22,204,Home & Garden Section,High priority category for season 4,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-12-30,1630.05
40,eCart 40,2012-06-29,209,Automotive Section,High priority category for season 4,526,Vendor Alpha 26,"444 Commerce Ave, Suite 26",2024-03-05,1514.7
18,eCart 18,2023-08-24,229,Fashion Section,High priority category for season 1,530,Vendor Alpha 30,"625 Commerce Ave, Suite 30",2024-05-08,1004.07
29,RiverTrade 29,2019-04-27,216,Beauty Section,High priority category for season 4,543,Vendor Alpha 43,"607 Commerce Ave, Suite 43",2024-12-22,229.55
50,GlobalBay 50,2013-03-02,242,Electronics Section,High priority category for season 2,514,Vendor Alpha 14,"910 Commerce Ave, Suite 14",2024-05-24,1659.54
48,Amazonia 48,2013-05-09,208,Toys Section,High priority category for season 3,534,Vendor Alpha 34,"912 Commerce Ave, Suite 34",2024-03-12,159.79
11,eCart 11,2011-11-22,239,Home & Garden Section,High priority category for season 1,543,Vendor Alpha 43,"607 Commerce Ave, Suite 43",2024-02-15,657.58
32,QuickMart 32,2010-02-22,209,Automotive Section,High priority category for season 4,501,Vendor Alpha 1,"205 Commerce Ave, Suite 1",2024-04-05,954.02
32,QuickMart 32,2010-02-22,208,Toys Section,High priority category for season 3,546,Vendor Alpha 46,"132 Commerce Ave, Suite 46",2024-05-02,1782.0
8,GlobalBay 8,2010-11-03,217,Home & Garden Section,High priority category for season 2,517,Vendor Alpha 17,"221 Commerce Ave, Suite 17",2024-09-05,1495.55
8,GlobalBay 8,2010-11-03,217,Home & Garden Section,High priority category for season 2,515,Vendor Alpha 15,"781 Commerce Ave, Suite 15",2024-10-03,1239.56
41,RiverTrade 41,2023-07-28,243,Home & Garden Section,High priority category for season 2,507,Vendor Alpha 7,"223 Commerce Ave, Suite 7",2024-11-01,1947.95
33,GlobalBay 33,2018-10-17,250,Beauty Section,High priority category for season 4,539,Vendor Alpha 39,"189 Commerce Ave, Suite 39",2024-09-20,1019.54
11,eCart 11,2011-11-22,224,Automotive Section,High priority category for season 1,516,Vendor Alpha 16,"591 Commerce Ave, Suite 16",2024-12-29,1104.43
15,GlobalBay 15,2015-04-07,228,Home & Garden Section,High priority category for season 3,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-04-15,152.15
15,GlobalBay 15,2015-04-07,248,Fashion Section,High priority category for season 4,550,Vendor Alpha 50,"723 Commerce Ave, Suite 50",2024-03-02,1583.47
37,Amazonia 37,2010-05-29,203,Toys Section,High priority category for season 3,514,Vendor Alpha 14,"910 Commerce Ave, Suite 14",2024-10-16,1323.3
35,RiverTrade 35,2014-05-22,220,Fashion Section,High priority category for season 3,548,Vendor Alpha 48,"490 Commerce Ave, Suite 48",2024-12-14,223.95
45,QuickMart 45,2022-12-02,216,Beauty Section,High priority category for season 4,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-07-19,1750.97
48,Amazonia 48,2013-05-09,208,Toys Section,High priority category for season 3,542,Vendor Alpha 42,"915 Commerce Ave, Suite 42",2024-02-24,758.71
37,Amazonia 37,2010-05-29,205,Books Section,High priority category for season 1,549,Vendor Alpha 49,"537 Commerce Ave, Suite 49",2024-10-06,1909.62
45,QuickMart 45,2022-12-02,211,Home & Garden Section,High priority category for season 4,509,Vendor Alpha 9,"214 Commerce Ave, Suite 9",2024-06-03,739.75
41,RiverTrade 41,2023-07-28,243,Home & Garden Section,High priority category for season 2,511,Vendor Alpha 11,"915 Commerce Ave, Suite 11",2024-11-15,351.27
38,QuickMart 38,2013-06-13,239,Home & Garden Section,High priority category for season 1,514,Vendor Alpha 14,"910 Commerce Ave, Suite 14",2024-08-29,891.79
18,eCart 18,2023-08-24,229,Fashion Section,High priority category for season 1,527,Vendor Alpha 27,"81 Commerce Ave, Suite 27",2024-11-04,1906.35
12,GlobalBay 12,2022-07-03,220,Fashion Section,High priority category for season 3,535,Vendor Alpha 35,"715 Commerce Ave, Suite 35",2024-05-29,1088.99
28,GlobalBay 28,2012-07-26,223,Toys Section,High priority category for season 3,532,Vendor Alpha 32,"339 Commerce Ave, Suite 32",2024-07-05,117.56
40,eCart 40,2012-06-29,204,Home & Garden Section,High priority category for season 4,533,Vendor Alpha 33,"461 Commerce Ave, Suite 33",2024-09-28,1074.46
35,RiverTrade 35,2014-05-22,226,Beauty Section,High priority category for season 1,541,Vendor Alpha 41,"586 Commerce Ave, Suite 41",2024-04-30,741.55
50,GlobalBay 50,2013-03-02,242,Electronics Section,High priority category for season 2,508,Vendor Alpha 8,"726 Commerce Ave, Suite 8",2024-05-16,758.47
35,RiverTrade 35,2014-05-22,229,Fashion Section,High priority category for season 1,523,Vendor Alpha 23,"77 Commerce Ave, Suite 23",2024-07-05,736.69
5,eCart 5,2019-04-23,205,Books Section,High priority category for season 1,542,Vendor Alpha 42,"915 Commerce Ave, Suite 42",2024-06-07,263.42
18,eCart 18,2023-08-24,229,Fashion Section,High priority category for season 1,538,Vendor Alpha 38,"152 Commerce Ave, Suite 38",2024-05-25,1737.77
33,GlobalBay 33,2018-10-17,250,Beauty Section,High priority category for season 4,517,Vendor Alpha 17,"221 Commerce Ave, Suite 17",2024-11-21,1168.67
11,eCart 11,2011-11-22,249,Automotive Section,High priority category for season 2,506,Vendor Alpha 6,"839 Commerce Ave, Suite 6",2024-07-01,416.74
21,GlobalBay 21,2016-03-27,250,Beauty Section,High priority category for season 4,510,Vendor Alpha 10,"401 Commerce Ave, Suite 10",2024-12-26,1467.85
21,GlobalBay 21,2016-03-27,231,Fashion Section,High priority category for season 3,518,Vendor Alpha 18,"495 Commerce Ave, Suite 18",2024-10-04,1261.22
20,QuickMart 20,2012-04-25,228,Home & Garden Section,High priority category for season 3,535,Vendor Alpha 35,"715 Commerce Ave, Suite 35",2024-07-16,294.73
7,RiverTrade 7,2019-08-19,236,Electronics Section,High priority category for season 2,520,Vendor Alpha 20,"942 Commerce Ave, Suite 20",2024-05-17,1976.87
27,QuickMart 27,2022-07-07,210,Automotive Section,High priority category for season 2,535,Vendor Alpha 35,"715 Commerce Ave, Suite 35",2024-01-05,928.72
46,QuickMart 46,2022-08-02,244,Books Section,High priority category for season 3,510,Vendor Alpha 10,"401 Commerce Ave, Suite 10",2024-08-17,1983.37
12,GlobalBay 12,2022-07-03,220,Fashion Section,High priority category for season 3,539,Vendor Alpha 39,"189 Commerce Ave, Suite 39",2024-10-22,1736.97
49,QuickMart 49,2016-09-01,247,Fashion Section,High priority category for season 4,511,Vendor Alpha 11,"915 Commerce Ave, Suite 11",2024-03-17,757.21
35,RiverTrade 35,2014-05-22,211,Home & Garden Section,High priority category for season 4,513,Vendor Alpha 13,"444 Commerce Ave, Suite 13",2024-12-26,1829.03
24,GlobalBay 24,2012-01-18,226,Beauty Section,High priority category for season 1,547,Vendor Alpha 47,"224 Commerce Ave, Suite 47",2024-01-17,679.79
13,RiverTrade 13,2014-10-27,212,Beauty Section,High priority category for season 4,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-11-29,768.11
50,GlobalBay 50,2013-03-02,242,Electronics Section,High priority category for season 2,501,Vendor Alpha 1,"205 Commerce Ave, Suite 1",2024-04-26,1951.28
14,GlobalBay 14,2015-11-10,207,Electronics Section,High priority category for season 2,502,Vendor Alpha 2,"811 Commerce Ave, Suite 2",2024-11-20,567.71
2,QuickMart 2,2011-02-24,249,Automotive Section,High priority category for season 2,515,Vendor Alpha 15,"781 Commerce Ave, Suite 15",2024-11-10,184.57
15,GlobalBay 15,2015-04-07,228,Home & Garden Section,High priority category for season 3,550,Vendor Alpha 50,"723 Commerce Ave, Suite 50",2024-07-07,1851.33
28,GlobalBay 28,2012-07-26,223,Toys Section,High priority category for season 3,514,Vendor Alpha 14,"910 Commerce Ave, Suite 14",2024-08-03,1085.0
3,RiverTrade 3,2012-06-04,237,Beauty Section,High priority category for season 1,508,Vendor Alpha 8,"726 Commerce Ave, Suite 8",2024-08-23,274.76
47,RiverTrade 47,2011-10-27,247,Fashion Section,High priority category for season 4,506,Vendor Alpha 6,"839 Commerce Ave, Suite 6",2024-02-11,515.07
39,GlobalBay 39,2015-08-11,202,Books Section,High priority category for season 2,506,Vendor Alpha 6,"839 Commerce Ave, Suite 6",2024-09-23,1861.14
20,QuickMart 20,2012-04-25,233,Toys Section,High priority category for season 3,517,Vendor Alpha 17,"221 Commerce Ave, Suite 17",2024-08-23,1999.88
32,QuickMart 32,2010-02-22,201,Books Section,High priority category for season 3,538,Vendor Alpha 38,"152 Commerce Ave, Suite 38",2024-04-09,1525.98
5,eCart 5,2019-04-23,240,Fashion Section,High priority category for season 1,509,Vendor Alpha 9,"214 Commerce Ave, Suite 9",2024-06-01,150.65
9,RiverTrade 9,2015-12-24,240,Fashion Section,High priority category for season 1,543,Vendor Alpha 43,"607 Commerce Ave, Suite 43",2024-02-09,572.8
38,QuickMart 38,2013-06-13,239,Home & Garden Section,High priority category for season 1,507,Vendor Alpha 7,"223 Commerce Ave, Suite 7",2024-05-03,1968.11
4,GlobalBay 4,2010-08-28,245,Beauty Section,High priority category for season 2,508,Vendor Alpha 8,"726 Commerce Ave, Suite 8",2024-12-15,1678.06
43,GlobalBay 43,2022-09-20,201,Books Section,High priority category for season 3,518,Vendor Alpha 18,"495 Commerce Ave, Suite 18",2024-02-02,385.74
25,Amazonia 25,2021-06-26,215,Home & Garden Section,High priority category for season 3,549,Vendor Alpha 49,"537 Commerce Ave, Suite 49",2024-02-29,1488.59
44,GlobalBay 44,2013-04-21,233,Toys Section,High priority category for season 3,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-02-04,1427.54
46,QuickMart 46,2022-08-02,244,Books Section,High priority category for season 3,534,Vendor Alpha 34,"912 Commerce Ave, Suite 34",2024-05-14,1841.87
25,Amazonia 25,2021-06-26,210,Automotive Section,High priority category for season 2,509,Vendor Alpha 9,"214 Commerce Ave, Suite 9",2024-06-29,1012.24
10,eCart 10,2017-10-21,238,Books Section,High priority category for season 2,504,Vendor Alpha 4,"228 Commerce Ave, Suite 4",2024-09-03,465.7
17,RiverTrade 17,2014-12-07,214,Automotive Section,High priority category for season 4,535,Vendor Alpha 35,"715 Commerce Ave, Suite 35",2024-12-18,1575.72
16,Amazonia 16,2022-01-23,236,Electronics Section,High priority category for season 2,508,Vendor Alpha 8,"726 Commerce Ave, Suite 8",2024-06-09,1524.75
17,RiverTrade 17,2014-12-07,214,Automotive Section,High priority category for season 4,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-08-01,554.18
16,Amazonia 16,2022-01-23,202,Books Section,High priority category for season 2,502,Vendor Alpha 2,"811 Commerce Ave, Suite 2",2024-08-05,220.15
40,eCart 40,2012-06-29,204,Home & Garden Section,High priority category for season 4,539,Vendor Alpha 39,"189 Commerce Ave, Suite 39",2024-04-10,1402.83
1,QuickMart 1,2017-07-26,246,Health Section,High priority category for season 4,514,Vendor Alpha 14,"910 Commerce Ave, Suite 14",2024-03-12,278.12
26,Amazonia 26,2016-07-13,225,Fashion Section,High priority category for season 3,533,Vendor Alpha 33,"461 Commerce Ave, Suite 33",2024-11-01,1759.55
17,RiverTrade 17,2014-12-07,214,Automotive Section,High priority category for season 4,533,Vendor Alpha 33,"461 Commerce Ave, Suite 33",2024-10-11,1254.96
19,GlobalBay 19,2023-03-16,235,Books Section,High priority category for season 3,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-01-04,1637.42
8,GlobalBay 8,2010-11-03,217,Home & Garden Section,High priority category for season 2,505,Vendor Alpha 5,"63 Commerce Ave, Suite 5",2024-05-06,743.45
16,Amazonia 16,2022-01-23,225,Fashion Section,High priority category for season 3,508,Vendor Alpha 8,"726 Commerce Ave, Suite 8",2024-05-12,775.73
1,QuickMart 1,2017-07-26,224,Automotive Section,High priority category for season 1,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-06-07,1901.1
25,Amazonia 25,2021-06-26,249,Automotive Section,High priority category for season 2,525,Vendor Alpha 25,"745 Commerce Ave, Suite 25",2024-06-12,944.97
29,RiverTrade 29,2019-04-27,246,Health Section,High priority category for season 4,519,Vendor Alpha 19,"786 Commerce Ave, Suite 19",2024-03-01,1165.09
27,QuickMart 27,2022-07-07,231,Fashion Section,High priority category for season 3,506,Vendor Alpha 6,"839 Commerce Ave, Suite 6",2024-08-25,1757.4
42,QuickMart 42,2020-11-30,205,Books Section,High priority category for season 1,528,Vendor Alpha 28,"724 Commerce Ave, Suite 28",2024-07-07,1658.76
33,GlobalBay 33,2018-10-17,246,Health Section,High priority category for season 4,502,Vendor Alpha 2,"811 Commerce Ave, Suite 2",2024-07-23,1785.01
9,RiverTrade 9,2015-12-24,246,Health Section,High priority category for season 4,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-04-28,1445.42
22,Amazonia 22,2010-11-16,230,Home & Garden Section,High priority category for season 2,506,Vendor Alpha 6,"839 Commerce Ave, Suite 6",2024-05-21,107.27
37,Amazonia 37,2010-05-29,208,Toys Section,High priority category for season 3,531,Vendor Alpha 31,"73 Commerce Ave, Suite 31",2024-08-07,902.46
10,eCart 10,2017-10-21,238,Books Section,High priority category for season 2,512,Vendor Alpha 12,"813 Commerce Ave, Suite 12",2024-09-09,610.91
35,RiverTrade 35,2014-05-22,236,Electronics Section,High priority category for season 2,546,Vendor Alpha 46,"132 Commerce Ave, Suite 46",2024-09-12,389.39
39,GlobalBay 39,2015-08-11,202,Books Section,High priority category for season 2,507,Vendor Alpha 7,"223 Commerce Ave, Suite 7",2024-02-08,1629.86
40,eCart 40,2012-06-29,204,Home & Garden Section,High priority category for season 4,525,Vendor Alpha 25,"745 Commerce Ave, Suite 25",2024-04-11,413.76
50,GlobalBay 50,2013-03-02,218,Electronics Section,High priority category for season 4,501,Vendor Alpha 1,"205 Commerce Ave, Suite 1",2024-11-19,1085.77
23,GlobalBay 23,2022-08-03,202,Books Section,High priority category for season 2,504,Vendor Alpha 4,"228 Commerce Ave, Suite 4",2024-04-19,1671.14
33,GlobalBay 33,2018-10-17,250,Beauty Section,High priority category for season 4,521,Vendor Alpha 21,"775 Commerce Ave, Suite 21",2024-09-30,1814.2
23,GlobalBay 23,2022-08-03,203,Toys Section,High priority category for season 3,519,Vendor Alpha 19,"786 Commerce Ave, Suite 19",2024-10-21,1892.14
20,QuickMart 20,2012-04-25,233,Toys Section,High priority category for season 3,533,Vendor Alpha 33,"461 Commerce Ave, Suite 33",2024-08-30,186.97
49,QuickMart 49,2016-09-01,247,Fashion Section,High priority category for season 4,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-04-30,381.33
21,GlobalBay 21,2016-03-27,248,Fashion Section,High priority category for season 4,512,Vendor Alpha 12,"813 Commerce Ave, Suite 12",2024-09-18,1919.34
24,GlobalBay 24,2012-01-18,226,Beauty Section,High priority category for season 1,512,Vendor Alpha 12,"813 Commerce Ave, Suite 12",2024-08-03,1923.61
32,QuickMart 32,2010-02-22,204,Home & Garden Section,High priority category for season 4,523,Vendor Alpha 23,"77 Commerce Ave, Suite 23",2024-04-11,1650.96
16,Amazonia 16,2022-01-23,226,Beauty Section,High priority category for season 1,530,Vendor Alpha 30,"625 Commerce Ave, Suite 30",2024-12-25,780.41
43,GlobalBay 43,2022-09-20,227,Toys Section,High priority category for season 3,530,Vendor Alpha 30,"625 Commerce Ave, Suite 30",2024-06-19,1435.42
16,Amazonia 16,2022-01-23,208,Toys Section,High priority category for season 3,523,Vendor Alpha 23,"77 Commerce Ave, Suite 23",2024-01-25,214.02
8,GlobalBay 8,2010-11-03,215,Home & Garden Section,High priority category for season 3,501,Vendor Alpha 1,"205 Commerce Ave, Suite 1",2024-08-28,124.12
5,eCart 5,2019-04-23,205,Books Section,High priority category for season 1,548,Vendor Alpha 48,"490 Commerce Ave, Suite 48",2024-10-19,346.0
19,GlobalBay 19,2023-03-16,222,Automotive Section,High priority category for season 4,525,Vendor Alpha 25,"745 Commerce Ave, Suite 25",2024-01-22,1539.8
26,Amazonia 26,2016-07-13,225,Fashion Section,High priority category for season 3,529,Vendor Alpha 29,"52 Commerce Ave, Suite 29",2024-01-24,935.51
42,QuickMart 42,2020-11-30,242,Electronics Section,High priority category for season 2,528,Vendor Alpha 28,"724 Commerce Ave, Suite 28",2024-05-07,1131.61
40,eCart 40,2012-06-29,204,Home & Garden Section,High priority category for season 4,516,Vendor Alpha 16,"591 Commerce Ave, Suite 16",2024-12-01,703.1
39,GlobalBay 39,2015-08-11,202,Books Section,High priority category for season 2,541,Vendor Alpha 41,"586 Commerce Ave, Suite 41",2024-08-01,1603.98
10,eCart 10,2017-10-21,238,Books Section,High priority category for season 2,511,Vendor Alpha 11,"915 Commerce Ave, Suite 11",2024-06-02,678.38
13,RiverTrade 13,2014-10-27,212,Beauty Section,High priority category for season 4,537,Vendor Alpha 37,"858 Commerce Ave, Suite 37",2024-12-24,869.17
37,Amazonia 37,2010-05-29,249,Automotive Section,High priority category for season 2,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-10-10,989.72
38,QuickMart 38,2013-06-13,239,Home & Garden Section,High priority category for season 1,505,Vendor Alpha 5,"63 Commerce Ave, Suite 5",2024-01-16,546.11
26,Amazonia 26,2016-07-13,225,Fashion Section,High priority category for season 3,524,Vendor Alpha 24,"679 Commerce Ave, Suite 24",2024-06-12,1935.07
30,QuickMart 30,2012-11-19,206,Fashion Section,High priority category for season 3,541,Vendor Alpha 41,"586 Commerce Ave, Suite 41",2024-05-06,374.63
50,GlobalBay 50,2013-03-02,218,Electronics Section,High priority category for season 4,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-12-17,1612.85
31,QuickMart 31,2016-03-15,230,Home & Garden Section,High priority category for season 2,530,Vendor Alpha 30,"625 Commerce Ave, Suite 30",2024-10-01,125.21
42,QuickMart 42,2020-11-30,247,Fashion Section,High priority category for season 4,535,Vendor Alpha 35,"715 Commerce Ave, Suite 35",2024-06-30,308.31
37,Amazonia 37,2010-05-29,231,Fashion Section,High priority category for season 3,532,Vendor Alpha 32,"339 Commerce Ave, Suite 32",2024-02-14,1200.48
15,GlobalBay 15,2015-04-07,228,Home & Garden Section,High priority category for season 3,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-11-19,769.55
21,GlobalBay 21,2016-03-27,201,Books Section,High priority category for season 3,531,Vendor Alpha 31,"73 Commerce Ave, Suite 31",2024-07-22,1249.26
36,RiverTrade 36,2022-01-14,226,Beauty Section,High priority category for season 1,537,Vendor Alpha 37,"858 Commerce Ave, Suite 37",2024-05-08,250.14
8,GlobalBay 8,2010-11-03,217,Home & Garden Section,High priority category for season 2,544,Vendor Alpha 44,"655 Commerce Ave, Suite 44",2024-12-23,397.19
34,QuickMart 34,2020-03-22,247,Fashion Section,High priority category for season 4,509,Vendor Alpha 9,"214 Commerce Ave, Suite 9",2024-09-21,169.53
41,RiverTrade 41,2023-07-28,243,Home & Garden Section,High priority category for season 2,512,Vendor Alpha 12,"813 Commerce Ave, Suite 12",2024-07-24,1042.61
50,GlobalBay 50,2013-03-02,218,Electronics Section,High priority category for season 4,508,Vendor Alpha 8,"726 Commerce Ave, Suite 8",2024-06-23,772.94
43,GlobalBay 43,2022-09-20,227,Toys Section,High priority category for season 3,546,Vendor Alpha 46,"132 Commerce Ave, Suite 46",2024-09-04,1808.59
44,GlobalBay 44,2013-04-21,233,Toys Section,High priority category for season 3,529,Vendor Alpha 29,"52 Commerce Ave, Suite 29",2024-12-06,560.06
15,GlobalBay 15,2015-04-07,248,Fashion Section,High priority category for season 4,510,Vendor Alpha 10,"401 Commerce Ave, Suite 10",2024-01-19,1161.32
18,eCart 18,2023-08-24,229,Fashion Section,High priority category for season 1,518,Vendor Alpha 18,"495 Commerce Ave, Suite 18",2024-12-18,626.23
25,Amazonia 25,2021-06-26,215,Home & Garden Section,High priority category for season 3,511,Vendor Alpha 11,"915 Commerce Ave, Suite 11",2024-05-03,721.06
16,Amazonia 16,2022-01-23,227,Toys Section,High priority category for season 3,519,Vendor Alpha 19,"786 Commerce Ave, Suite 19",2024-04-03,1265.95
45,QuickMart 45,2022-12-02,211,Home & Garden Section,High priority category for season 4,501,Vendor Alpha 1,"205 Commerce Ave, Suite 1",2024-12-18,813.74
33,GlobalBay 33,2018-10-17,250,Beauty Section,High priority category for season 4,541,Vendor Alpha 41,"586 Commerce Ave, Suite 41",2024-08-18,941.45
49,QuickMart 49,2016-09-01,247,Fashion Section,High priority category for season 4,534,Vendor Alpha 34,"912 Commerce Ave, Suite 34",2024-03-21,124.01
10,eCart 10,2017-10-21,238,Books Section,High priority category for season 2,510,Vendor Alpha 10,"401 Commerce Ave, Suite 10",2024-05-15,336.2
20,QuickMart 20,2012-04-25,225,Fashion Section,High priority category for season 3,518,Vendor Alpha 18,"495 Commerce Ave, Suite 18",2024-07-11,696.67
33,GlobalBay 33,2018-10-17,246,Health Section,High priority category for season 4,545,Vendor Alpha 45,"757 Commerce Ave, Suite 45",2024-10-25,326.55
5,eCart 5,2019-04-23,232,Fashion Section,High priority category for season 2,506,Vendor Alpha 6,"839 Commerce Ave, Suite 6",2024-10-29,1270.41
16,Amazonia 16,2022-01-23,227,Toys Section,High priority category for season 3,512,Vendor Alpha 12,"813 Commerce Ave, Suite 12",2024-04-07,340.02
